title,link,views,duration,thumbnails,comments
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,These videos are the only reason I actually understand Biology
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,"I remember the different phases like this:
Prophase: Pro- 1- first phase
Metaphase- M, Meet, where they meet in the middle
Anaphase- A, Apart, where they're pulled apart
Telophase- T, Terminal, the final stage"
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,"Easy way to remember Prophase, Metaphase, Anaphase, and Telophase.

Please (P)  Make (M) Another (A)  Twin (T)"
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,Watching it 10 years later seems so nostalgic. Thank you for all you do CC!
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,Stop reading the comments you've got a test tomorrow morning!
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,You teach this waaaay better than my teacher did. Thank you!
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,I got a History exam on the 27th and a bio exam on 28th. Gonna binge watch crash course.
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,I've stopped watching my normal assigned videos and started just watching relevant Crash Course episodes. Go Hank!
Mitosis: Splitting Up is Complicated - Crash Course Biology #12,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,6.7M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,"When james charles stubs his toe ""Mitosis!"""
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,"I find it funny that instead of having a picture of john, they just filmed him standing there, silently, not moving for like a good 30 seconds."
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,i like how he brings his brother on just to roast him on his genetic traits .
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,"Anyone else was expecting John to be all like ""Hey!"""
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,Good luck to everyone who has finals this week. cries quietly into textbook at 2:35am
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,110% relying on your mitosis and meiosis vids to pass bio.
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,You've taught me so much more than my teacher ever has. Thank you so much for saving my grades.
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,"For those who say these videos helped them pass a grade. I mean sure, thanks to the videos you guys passed and we are very grateful for his videos, BUT give some credit to yourself. Even if you did not get that passing grade, you did something fewer and fewer people do nowadays: trying your best and taking the initiative. YOU took the time and effort to watch the videos and CHOOSE to learn! That kind of determination and diligence is admirable and very commendable! :D"
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,I HAVE AN EXAM IN 30 MINUTES AND IM CRAMMING ALL THIS INFORMATION INTO MY BRAIN BECAUSE I DIDNT LEARN ANYTHING FROM MY TEACHER WISH ME LUCK!!!!!!!!!!!!!!!!!
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,The only reason i'll pass biology is because of these videos 
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,WE NEED TEACHERS LIKE YOU IN SCHOOLS!!!
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,You are saving my career as a biologist.
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,imagine how hard it was for john to just stand still and have to listen to hank
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,who else got an exam tomorrow? lol
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,Cramming for a test tomorrow! This is so helpful! Teachers take two days to finish what he did in like 10-11 min
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,I’ve watched this so many times that it’s finally starting to make sense
Meiosis: Where the Sex Starts - Crash Course Biology #13,https://www.youtube.com/watch?v=ylOpide9dus&list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&index=100&pp=iAQB,5.1M views,12 years ago,https://i.ytimg.com/vi/cj8dDTHGJBY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCuE6w2jPO33JC4DHb-hoDbQN-sAQ,I come back to this video every few years when I find myself needing a reminder about this process. Thanks Hank
